iter	Passed	Remaining
371	538	909
372	539	907
373	540	904
374	541	902
375	542	900
376	543	898
377	544	896
378	545	894
379	546	891
380	547	889
381	548	887
382	549	885
383	550	883
384	551	880
385	552	878
386	553	876
387	554	874
388	555	872
389	556	870
390	557	867
391	558	866
392	559	864
393	560	862
394	561	860
395	562	857
396	563	855
397	564	853
398	565	851
399	566	849
400	567	847
401	568	845
402	569	843
403	570	841
404	571	839
405	572	837
406	573	835
407	574	833
408	575	831
409	576	829
410	577	827
411	578	825
412	579	823
413	580	821
414	581	819
415	582	817
416	583	815
417	584	813
418	585	811
419	586	809
420	587	807
421	588	806
422	589	804
423	590	802
424	591	800
425	592	798
426	593	796
427	594	794
428	595	792
429	596	790
430	597	788
431	598	786
432	599	784
433	600	782
434	601	780
435	602	778
436	603	776
437	604	775
438	605	773
439	605	771
440	607	769
441	608	767
442	608	765
443	609	763
444	610	761
445	611	760
446	612	758
447	613	756
448	614	754
449	615	752
450	616	750
451	617	748
452	618	747
453	619	745
454	620	743
455	621	741
456	622	739
457	623	737
458	624	736
459	625	734
460	626	732
461	627	730
462	628	728
463	629	727
464	630	725
465	631	723
466	632	721
467	633	720
468	634	718
469	635	716
470	636	714
471	637	712
472	638	711
473	639	709
474	640	707
475	641	705
476	642	704
477	642	702
478	643	700
479	644	698
480	645	696
481	646	695
482	647	693
483	648	691
484	649	689
485	650	688
486	651	686
487	652	684
488	654	683
489	655	681
490	656	680
491	656	678
492	657	676
493	658	675
494	660	673
495	661	671
496	662	670
497	663	668
498	663	666
499	664	664
500	665	663
501	666	661
502	667	659
503	668	658
504	669	656
505	670	654
506	671	653
507	672	651
508	673	649
509	674	648
510	675	646
511	676	644
512	677	643
513	678	641
514	679	640
515	680	638
516	681	636
517	682	635
518	683	633
519	685	632
520	686	631
521	688	630
522	689	628
523	690	626
524	691	625
525	691	623
526	692	621
527	693	620
528	694	618
529	695	617
530	696	615
531	697	613
532	698	612
533	699	610
534	700	609
535	701	607
536	702	605
537	703	604
538	704	602
539	705	601
540	706	599
541	707	597
542	708	596
543	709	594
544	710	593
545	711	591
546	712	590
547	713	588
548	714	586
549	715	585
550	716	583
551	717	582
552	718	580
553	719	579
554	720	577
555	721	575
556	722	574
557	723	572
558	724	571
559	725	569
560	726	568
561	727	566
562	728	565
563	729	563
564	730	562
565	731	560
566	732	559
567	733	557
568	734	556
569	735	554
570	736	553
571	737	551
572	738	550
573	739	548
574	740	547
575	741	545
576	742	544
577	743	542
578	744	541
579	745	539
580	746	538
581	747	536
582	748	535
583	749	533
584	750	532
585	751	530
586	752	529
587	753	527
588	754	526
589	755	524
590	756	523
591	757	521
592	758	520
593	759	519
594	760	517
595	761	516
596	762	514
597	763	513
598	764	511
599	765	510
600	766	508
601	767	507
602	768	505
603	769	504
604	770	502
605	771	501
606	772	500
607	773	498
608	774	497
609	775	495
610	776	494
611	777	492
612	778	491
613	779	489
614	779	488
615	780	486
616	781	485
617	782	483
618	783	482
619	784	481
620	785	479
621	786	478
622	787	476
623	788	475
624	789	473
625	790	472
626	791	470
627	792	469
628	793	467
629	794	466
630	795	465
631	796	463
632	797	462
633	798	460
634	799	459
635	800	457
636	801	456
637	802	455
638	802	453
639	803	452
640	804	450
641	805	449
642	806	447
643	807	446
644	808	445
645	809	443
646	810	442
647	811	440
648	812	439
649	813	438
650	815	436
651	816	435
652	817	434
653	818	433
654	820	431
655	821	430
656	822	429
657	823	427
658	824	426
659	825	425
660	826	423
661	827	422
662	828	420
663	829	419
664	830	418
665	831	416
666	831	415
667	832	413
668	833	412
669	834	411
670	835	409
671	836	408
672	837	407
673	838	405
674	839	404
675	840	403
676	841	401
677	842	400
678	843	398
679	844	397
680	845	396
681	846	394
682	847	393
683	848	392
684	849	390
685	850	389
686	851	388
687	852	386
688	853	385
689	854	383
690	855	382
691	856	381
692	857	379
693	858	378
694	859	377
695	860	375
696	861	374
697	862	373
698	863	371
699	864	370
700	865	369
701	866	367
702	867	366
703	868	365
704	869	363
705	870	362
706	871	361
707	872	359
708	873	358
709	874	357
710	875	355
711	876	354
712	876	353
713	877	351
714	878	350
715	879	349
716	880	347
717	881	346
718	882	345
719	884	343
720	885	342
721	886	341
722	887	339
723	888	338
724	889	337
725	890	335
726	891	334
727	892	333
728	893	332
729	894	330
730	895	329
731	896	328
732	897	326
733	898	325
734	899	324
735	900	322
736	901	321
737	902	320
738	903	318
739	903	317
740	904	316
741	905	314
742	906	313
743	907	312
744	908	311
745	909	309
746	910	308
747	911	307
748	912	305
749	913	304
750	914	303
751	915	301
752	916	300
753	917	299
754	918	298
755	919	296
756	920	295
757	921	294
758	922	292
759	923	291
760	924	290
761	925	289
762	926	287
763	927	286
764	928	285
765	929	283
766	930	282
767	931	281
768	932	279
769	933	278
770	934	277
771	934	276
772	935	274
773	936	273
774	937	272
775	938	270
776	939	269
777	940	268
778	941	267
779	942	265
780	943	264
781	944	263
782	945	262
783	946	260
784	947	259
785	948	258
786	949	256
787	950	255
788	951	254
789	952	253
790	953	251
791	954	250
792	955	249
793	956	248
794	957	246
795	958	245
796	959	244
797	960	243
798	960	241
799	961	240
800	962	239
801	963	237
802	964	236
803	965	235
804	966	234
805	967	232
806	968	231
807	969	230
808	970	229
809	971	227
810	972	226
811	973	225
812	974	224
813	975	222
814	976	221
815	977	220
816	978	219
817	979	217
818	980	216
819	981	215
820	982	214
821	983	212
822	984	211
823	985	210
824	986	209
825	987	207
826	988	206
827	989	205
828	990	204
829	990	202
830	991	201
831	992	200
832	993	199
833	995	198
834	996	196
835	997	195
836	997	194
837	998	193
838	999	191
839	1000	190
840	1001	189
841	1002	188
842	1003	186
843	1004	185
844	1005	184
845	1006	183
846	1007	182
847	1008	180
848	1009	179
849	1010	178
850	1011	177
851	1012	175
852	1013	174
853	1014	173
854	1015	172
855	1016	170
856	1017	169
857	1018	168
858	1019	167
859	1020	166
860	1021	164
861	1022	163
862	1023	162
863	1024	161
864	1025	160
865	1026	158
866	1027	157
867	1028	156
868	1029	155
869	1030	153
870	1031	152
871	1032	151
872	1033	150
873	1034	149
874	1035	147
875	1036	146
876	1037	145
877	1038	144
878	1039	143
879	1040	141
880	1041	140
881	1042	139
882	1043	138
883	1044	137
884	1045	135
885	1046	134
886	1047	133
887	1048	132
888	1049	131
889	1050	129
890	1052	128
891	1053	127
892	1054	126
893	1055	125
894	1056	123
895	1057	122
896	1058	121
897	1060	120
898	1061	119
899	1062	118
900	1063	116
901	1064	115
902	1065	114
903	1066	113
904	1067	112
905	1068	110
906	1069	109
907	1070	108
908	1071	107
909	1072	106
910	1073	104
911	1074	103
912	1075	102
913	1076	101
914	1077	100
915	1078	98
916	1079	97
917	1080	96
918	1081	95
919	1082	94
920	1083	92
921	1084	91
922	1085	90
923	1086	89
924	1087	88
925	1088	86
926	1089	85
927	1090	84
928	1091	83
929	1091	82
930	1093	81
931	1094	79
932	1095	78
933	1096	77
934	1096	76
935	1097	75
936	1098	73
937	1099	72
938	1100	71
939	1101	70
940	1102	69
941	1103	67
942	1104	66
943	1105	65
944	1106	64
945	1107	63
946	1108	62
947	1109	60
948	1110	59
949	1111	58
950	1112	57
951	1113	56
952	1114	54
953	1115	53
954	1116	52
955	1117	51
956	1118	50
957	1119	49
958	1120	47
959	1121	46
960	1122	45
961	1123	44
962	1124	43
963	1125	42
964	1126	40
965	1127	39
966	1127	38
967	1128	37
968	1129	36
969	1130	34
970	1131	33
971	1132	32
972	1133	31
973	1134	30
974	1135	29
975	1136	27
976	1137	26
977	1138	25
978	1139	24
979	1140	23
980	1141	22
981	1142	20
982	1143	19
983	1144	18
984	1145	17
985	1146	16
986	1147	15
987	1148	13
988	1149	12
989	1150	11
990	1151	10
991	1152	9
992	1153	8
993	1154	6
994	1155	5
995	1156	4
996	1157	3
997	1158	2
998	1159	1
999	1160	0
